id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,result_margin,eliminator,method,umpire1,umpire2,venue
1,2008,Mohali,2008-04-08,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,wickets,0,Punjab Kings,4,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2,2008,Bangalore,2008-04-18,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,field,wickets,0,Royal Challengers Bangalore,3,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
3,2008,Hyderabad,2008-05-15,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,runs,0,Rajasthan Royals,7,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
4,2008,Ahmedabad,2008-04-27,Gujarat Titans,Delhi Capitals,Gujarat Titans,bat,wickets,0,Delhi Capitals,5,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
5,2008,Mumbai,2008-03-25,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,wickets,0,Mumbai Indians,5,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
6,2008,Mohali,2008-05-25,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,4,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
7,2008,Bangalore,2008-04-21,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,bat,runs,0,Lucknow Super Giants,10,N,,Umpire A,Umpire B,"M. Chinnaswamy Stadium, Bangalore"
8,2008,Hyderabad,2008-03-28,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,runs,0,Rajasthan Royals,1,N,,Umpire A,Umpire B,"Rajiv Gandhi International Cricket Stadium, Hyderabad"
9,2008,Ahmedabad,2008-03-18,Gujarat Titans,Delhi Capitals,Gujarat Titans,bat,runs,0,Gujarat Titans,12,N,,Umpire A,Umpire B,"Narendra Modi Stadium, Ahmedabad"
10,2008,Mumbai,2008-05-07,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,wickets,0,Mumbai Indians,5,N,,Umpire A,Umpire B,"Wankhede Stadium, Mumbai"
11,2008,Mohali,2008-03-07,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,wickets,0,Kolkata Knight Riders,5,N,,Umpire A,Umpire B,"Punjab Cricket Association IS Bindra Stadium, Mohali"
